# guk-exim
# path                  cores messages/sec/core real    user/message sys/message idle/message 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-1  1     20526.7          15.032  4.57614e-05 1.16672e-06 1.8149e-06  
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-4  4     20025.7          15.0294 4.73878e-05 9.8015e-07  1.74434e-06 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-8  8     19335.2          15.0225 4.88745e-05 1.07156e-06 1.99681e-06 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-12 12    18569.3          15.0204 5.06898e-05 1.23692e-06 2.15117e-06 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-16 16    17993.6          15.0297 5.24519e-05 1.17864e-06 2.214e-06   
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-20 20    17036.2          15.0194 5.54218e-05 1.20176e-06 2.32536e-06 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-24 24    16706.2          15.0198 5.63069e-05 1.32178e-06 2.53065e-06 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-28 28    15387.1          15.0148 5.9345e-05  1.5072e-06  4.66845e-06 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-32 32    13181.3          15.0253 6.54433e-05 1.65517e-06 9.69752e-06 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-36 36    9573.07          15.0198 9.2265e-05  2.02848e-06 1.1344e-05  
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-40 40    7636.63          15.0171 0.000105075 2.50697e-06 2.5545e-05  
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-44 44    6626.41          15.0157 0.000121939 2.70214e-06 2.88807e-05 
named/guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16/cores-48 48    4314.78          15.0166 0.000196963 3.39862e-06 3.54396e-05 


# guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024
# path                                                                                       cores queries/sec/core real    user/query  sys/query   idle/query  
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-1  1     20531.1          15.034  4.57779e-05 1.03673e-06 1.87907e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-4  4     19710.8          15.0227 4.80987e-05 9.54037e-07 1.84053e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-8  8     19031.7          15.0236 5.00045e-05 8.61243e-07 1.95419e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-12 12    18454.8          15.0173 5.13847e-05 9.83253e-07 2.04469e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-16 16    17850.9          15.0151 5.31068e-05 1.07263e-06 2.08696e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-20 20    17521.9          15.0161 5.42834e-05 9.63476e-07 2.10938e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-24 24    17257.3          15.0229 5.5065e-05  1.07359e-06 2.21629e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-28 28    16411.8          15.0313 5.7698e-05  1.09883e-06 2.62619e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-32 32    15966.4          15.0177 5.907e-05   1.17817e-06 3.04186e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-36 36    15083.6          15.0204 6.25399e-05 1.12674e-06 3.19878e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-40 40    14336.5          15.0313 6.54163e-05 1.19839e-06 4.04995e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-44 44    14087.5          15.0195 6.62513e-05 1.22558e-06 4.56076e-06 
named/guk-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-48 48    13515.2          15.0187 6.85728e-05 1.35481e-06 5.32481e-06 


# stock-exim
# path                    cores messages/sec/core real    user/message sys/message idle/message 
named/stock-exim/cores-1  1     641.656           15.0096 0.000477624  0.00108088  0            
named/stock-exim/cores-4  4     460.106           15.0036 0.000480933  0.00169268  0            
named/stock-exim/cores-8  8     406.997           15.0035 0.000472866  0.0019842   0            
named/stock-exim/cores-12 12    378.535           15.003  0.000481585  0.00215979  0            
named/stock-exim/cores-16 16    365.049           15.0028 0.000493678  0.0022454   0            
named/stock-exim/cores-20 20    352.554           15.0028 0.000486548  0.00234955  0            
named/stock-exim/cores-24 24    338.338           15.0024 0.000485138  0.00247108  0            
named/stock-exim/cores-28 28    320.996           15.0042 0.000501572  0.0026139   0            
named/stock-exim/cores-32 32    303.708           15.0031 0.00050168   0.00279062  6.85824e-08  
named/stock-exim/cores-36 36    277.626           15.0034 0.000514231  0.00308779  3.3344e-07   
named/stock-exim/cores-40 40    250.956           15.0035 0.00052301   0.00346055  1.52713e-06  
named/stock-exim/cores-44 44    118.352           15.0049 0.000512939  0.00792559  1.06222e-05  
named/stock-exim/cores-48 48    84.7641           15.0066 0.000517058  0.0112487   3.32476e-05  


# stock-gmake
# path                     cores builds/sec/core real    user/build sys/build idle/build 
named/stock-gmake/cores-1  1     0.00160207      624.191 577        47.23     0          
named/stock-gmake/cores-4  4     0.0015253       163.902 590.28     58.46     6.16       
named/stock-gmake/cores-8  8     0.00148757      84.0295 592.83     62.78     16.3       
named/stock-gmake/cores-12 12    0.00143551      58.0515 599.56     68.72     26.63      
named/stock-gmake/cores-16 16    0.00142014      44.0099 597.3      65.6      41.13      
named/stock-gmake/cores-20 20    0.00139192      35.9216 598.47     67.33     52.45      
named/stock-gmake/cores-24 24    0.00136684      30.4839 601.07     68.31     62.08      
named/stock-gmake/cores-28 28    0.0013572       26.3146 599.44     68.94     64.19      
named/stock-gmake/cores-32 32    0.00131122      23.8328 601.04     71.25     80.65      
named/stock-gmake/cores-36 36    0.00129334      21.4775 603.75     72.61     98.62      
named/stock-gmake/cores-40 40    0.00124735      20.0425 601.97     73.94     124.64     
named/stock-gmake/cores-44 44    0.00124221      18.2958 602.6      75.34     120.01     
named/stock-gmake/cores-48 48    0.00119001      17.5069 605        76.12     156.37     


# stock-metis/model-default
# path                                   cores jobs/sec/core real    user/job sys/job idle/job 
named/stock-metis/model-default/cores-1  1     0.00725547    137.827 133.63   4.2     0        
named/stock-metis/model-default/cores-4  4     0.00729301    34.2794 132.65   4.4     1.67     
named/stock-metis/model-default/cores-8  8     0.00728307    17.1631 132.05   4.89    4.24     
named/stock-metis/model-default/cores-12 12    0.00690063    12.0762 138.29   6.06    5.18     
named/stock-metis/model-default/cores-16 16    0.0070595     8.85332 134.54   6.21    9.71     
named/stock-metis/model-default/cores-20 20    0.00658703    7.59068 142.24   8       9.23     
named/stock-metis/model-default/cores-24 24    0.00638705    6.52362 143.23   11.07   19.55    
named/stock-metis/model-default/cores-28 28    0.00580631    6.15094 156.15   12.98   23.81    
named/stock-metis/model-default/cores-32 32    0.00603615    5.17714 146.94   14.65   26.38    
named/stock-metis/model-default/cores-36 36    0.00589801    4.70969 147.59   16.7    19.48    
named/stock-metis/model-default/cores-40 40    0.00573045    4.36266 146.84   20.56   25.4     
named/stock-metis/model-default/cores-44 44    0.0053877     4.21836 152.94   24.26   33.4     
named/stock-metis/model-default/cores-48 48    0.0052296     3.98373 150.84   29.55   36.33    


# stock-metis/model-hugetlb
# path                                   cores jobs/sec/core real    user/job sys/job idle/job 
named/stock-metis/model-hugetlb/cores-1  1     0.00832078    120.181 116.69   3.5     0        
named/stock-metis/model-hugetlb/cores-4  4     0.00786055    31.8044 121.99   4.12    2.01     
named/stock-metis/model-hugetlb/cores-8  8     0.00744979    16.779  122.4    6.63    8.68     
named/stock-metis/model-hugetlb/cores-12 12    0.00653549    12.7509 126.82   11.65   20.74    
named/stock-metis/model-hugetlb/cores-16 16    0.00639155    9.77853 126.68   10.6    28       
named/stock-metis/model-hugetlb/cores-20 20    0.00575155    8.69331 129.17   13.92   39.88    
named/stock-metis/model-hugetlb/cores-24 24    0.00521729    7.98627 133.3    15.53   54.71    
named/stock-metis/model-hugetlb/cores-28 28    0.00461471    7.73922 141.32   19.21   72.17    
named/stock-metis/model-hugetlb/cores-32 32    0.00476463    6.55875 138.69   17.54   67.7     
named/stock-metis/model-hugetlb/cores-36 36    0.00453673    6.12287 135.73   19.05   84.34    
named/stock-metis/model-hugetlb/cores-40 40    0.00416585    6.00118 139.9    19.72   106.08   
