spec_int1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,008_espresso,022_li,023_eqntott,026_compress,072_sc,085_gcc,link
158,510,,Intel,Xxpress Deskside,104.3,110.0,79.4,110.3,104.8,68.2,263.4,78.3,http://performance.netlib.org/performance/html/spec.i735902.cint92.6_95.notes.html#{Intel Corporation Xxpress Deskside (735\90; 1MB L2) Pentium Processor 735\90}
159,587,,Intel,Alder,258.3,276.3,165.7,242.6,611.1,130.7,629.2,147.2,http://performance.netlib.org/performance/html/spec.inteli3.cint92.12_95.notes.html#{Intel Corporation Alder System (150MHz; 256KB L2) 150MHz Pentium Pro Processor}
160,587,,Intel,TDZ300,255.5,274.3,165.7,242.6,611.1,128.8,620.5,141.8,http://performance.netlib.org/performance/html/spec.interi3.cint92.12_95.notes.html#{Intergraph Corporation TDZ300 (150MHz) 150MHz Pentium Pro Processor}
161,588,,Intel,Alder,306.6,327.1,184.6,270.0,733.3,174.2,767.8,170.1,http://performance.netlib.org/performance/html/spec.inteli4.cint92.12_95.notes.html#{Intel Corporation Alder System (166MHz; 512KB L2) 166MHz Pentium Pro Processor}
162,589,,Intel,TDZ300,301.8,326.0,199.1,291.5,733.3,145.0,730.6,167.5,http://performance.netlib.org/performance/html/spec.interi2.cint92.12_95.notes.html#{Intergraph Corporation TDZ300 (180MHz) 180MHz Pentium Pro Processor}
163,589,,Intel,Alder,305.8,327.4,199.1,291.5,733.3,148.1,755.0,171.7,http://performance.netlib.org/performance/html/spec.inteli2.cint92.12_95.notes.html#{Intel Corporation Alder System (180MHz; 256KB L2) 180MHz Pentium Pro Processor}
164,590,,Intel,TDZ300,332.8,359.3,220.4,325.1,785.7,160.1,808.9,186.3,http://performance.netlib.org/performance/html/spec.interi1.cint92.12_95.notes.html#{Intergraph Corporation TDZ300 (200MHz) 200MHz Pentium Pro Processor}
165,590,,Intel,Alder,336.7,366.0,220.4,323.4,785.7,164.9,823.6,191.6,http://performance.netlib.org/performance/html/spec.inteli1.cint92.12_95.notes.html#{Intel Corporation Alder System (200MHz; 256KB L2) 200MHz Pentium Pro Processor}
166,714,,DDE,Supermax 4/4001,61.0,67.5,81.1,93.9,73.3,34.3,55.4,48.4,http://performance.netlib.org/performance/html/spec.dde4401c.cint92.6_94.notes.html#{Dansk Data Elektronik A/S Supermax 75/150Mhz R4400}
167,716,,Pyramid,,139.1,152.1,111.3,136.5,171.9,89.1,286.7,108.5,http://performance.netlib.org/performance/html/spec.pyrmid1.cint92.9_95.notes.html#{Pyramid Technology Corporation Reliant RM1000 100/200 MHz MIPS R4400}
168,716,,Pyramid,,139.1,152.1,111.3,136.5,171.9,89.1,286.7,108.5,http://performance.netlib.org/performance/html/spec.sni2.cint92.9_95.notes.html#{Siemens Nixdorf Informationssysteme Reliant RM1000 100/200 MHz MIPS R4400}
