spec_int2006_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,link
527,681,2009-09-01,ASUSTeK Computer Inc.,ASUS RS300-E6  P7F-E  server system,0,true,31.0,35.5,23.1,16.1,28.9,49.3,23.0,22.4,26.1,195.0,34.6,25.0,17.1,39.4,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091208-09249.html
528,681,2009-09-01,ASUSTeK Computer Inc.,ASUS TS300-E6  P7F-E  server system,0,true,31.0,35.5,23.1,16.1,28.9,49.3,23.0,22.4,26.1,195.0,34.6,25.0,17.1,39.4,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091120-09029.html
529,681,2009-09-01,Dell Inc.,PowerEdge R210,0,true,28.2,32.6,22.9,15.6,27.5,44.8,23.3,21.2,23.7,109.0,36.2,22.4,15.7,35.8,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091201-09101.html
530,681,2009-09-01,Dell Inc.,PowerEdge T310,0,true,28.3,32.7,22.9,15.6,27.5,45.0,23.3,21.1,23.7,109.0,36.1,22.5,15.7,36.2,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091201-09144.html
531,681,2009-10-01,ASUSTeK Computer Inc.,ASUS TS100-E6  P7F-X  server system,0,true,31.0,35.6,25.0,17.2,30.7,49.6,25.6,23.1,25.8,119.0,39.5,25.0,17.1,39.3,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20091221-09313.html
532,681,2009-10-01,IBM Corporation,IBM System x3200 M3,0,true,30.9,35.2,24.4,16.0,28.0,48.2,22.6,23.3,25.9,193.0,34.6,23.7,17.3,38.4,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20090914-08587.html
533,681,2009-10-01,IBM Corporation,IBM System x3250 M3,0,true,30.8,35.2,24.2,16.0,28.0,47.4,22.6,23.2,25.9,193.0,34.6,23.9,17.3,38.3,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20090914-08591.html
534,681,2009-12-01,Bull SAS,NovaScale R410 F2,0,true,28.2,32.6,22.9,15.6,27.5,44.8,23.3,21.2,23.7,109.0,36.2,22.4,15.7,35.8,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091204-09170.html
535,681,2009-12-01,Bull SAS,NovaScale T810 F2,0,true,28.2,32.6,23.0,15.5,27.5,44.7,23.3,21.2,23.7,109.0,36.1,22.4,15.7,36.2,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091204-09183.html
536,681,2009-12-01,Bull SAS,NovaScale T820 F2,0,true,28.3,32.7,22.9,15.6,27.5,45.0,23.3,21.1,23.7,109.0,36.1,22.5,15.7,36.2,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091204-09201.html
537,681,2010-01-01,Fujitsu,PRIMERGY RX100 S6,0,true,33.4,36.8,24.8,18.5,24.3,41.6,23.3,47.9,26.9,243.0,34.4,22.1,19.4,38.9,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20091218-09294.html
538,681,2010-01-01,Fujitsu,PRIMERGY TX150 S7,0,true,33.2,36.4,24.8,18.5,24.6,41.7,23.2,47.4,26.8,244.0,34.5,21.6,19.2,37.8,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20091218-09302.html
539,681,2010-03-01,Acer Incorporated,Acer AR320 F1,0,true,33.6,36.6,26.5,18.7,24.4,40.2,24.2,48.8,27.0,241.0,35.3,21.5,19.3,37.7,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100311-09770.html
540,681,2010-03-01,Acer Incorporated,Acer AT310 F1,0,true,33.6,36.6,26.5,18.7,24.4,40.2,24.2,48.8,27.0,241.0,35.3,21.5,19.3,37.7,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100311-09778.html
541,681,2010-03-01,Acer Incorporated,Gateway GR320 F1,0,true,33.6,36.6,26.5,18.7,24.4,40.2,24.2,48.8,27.0,241.0,35.3,21.5,19.3,37.7,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100311-09786.html
542,681,2010-03-01,Acer Incorporated,Gateway GT310 F1,0,true,33.6,36.6,26.5,18.7,24.4,40.2,24.2,48.8,27.0,241.0,35.3,21.5,19.3,37.7,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100311-09762.html
543,681,2010-03-01,Fujitsu,CELSIUS W380,0,true,33.6,36.8,24.9,18.6,25.0,42.4,23.3,47.6,26.9,242.0,34.5,22.6,19.4,38.9,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20091223-09325.html
