spec_int1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,099_go,124_m88ksim,126_gcc,129_compress,130_li,132_ijpeg,134_perl,147_vortex,link
435,566,1999-04-01,Siemens / Germany,Primergy 670-40,22.5,22.5,22.6,23.0,20.6,19.0,25.4,19.9,23.8,26.7,http://www.spec.org/cpu95/results/res99q2/cpu95-19990506-03582.html
436,566,1999-04-01,Siemens / Germany,Primergy 670/20,21.2,21.2,21.1,22.9,18.8,17.4,24.2,19.7,23.1,23.2,http://www.spec.org/cpu95/results/res99q2/cpu95-19990326-03463.html
437,556,1999-01-01,Siemens; Paderborn,Primergy 670/20,17.5,17.5,16.1,17.9,16.3,14.8,18.5,17.4,20.0,19.3,http://www.spec.org/cpu95/results/res98q4/cpu95-981207-03212.html
438,566,1999-04-01,Siemens / Germany,Primergy 870,22.5,22.5,22.7,23.0,20.4,19.2,25.5,19.7,23.8,26.6,http://www.spec.org/cpu95/results/res99q2/cpu95-19990506-03583.html
439,556,1999-01-01,Siemens; Germany,Primergy 870,19.0,19.0,18.8,18.1,18.4,17.1,19.9,17.6,20.6,21.9,http://www.spec.org/cpu95/results/res98q4/cpu95-981123-03197.html
440,555,1998-07-01,SNI; Munich / Germany,CELSIUS 2000,16.6,16.6,16.0,16.0,15.9,14.8,17.4,15.7,18.3,19.1,http://www.spec.org/cpu95/results/res98q3/cpu95-980707-02877.html
441,502,1995-10-01,SNI; Augsburg / Germany,PCE-5Smp,4.04,4.04,4.66,4.22,4.09,3.04,4.64,2.87,4.88,4.51,http://www.spec.org/cpu95/results/res96q2/cpu95-960429-00732.html
442,502,1996-03-01,SNI; Augsburg / Germany,PRIMERGY-550,3.69,3.69,3.81,4.11,3.33,3.4,4.14,2.8,4.53,3.67,http://www.spec.org/cpu95/results/res96q2/cpu95-960429-00742.html
443,554,1998-07-01,SNI; Paderborn / Germany,Primergy 070,13.7,13.7,12.7,13.9,13.1,11.4,14.5,13.7,15.7,15.2,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02850.html
444,555,1998-07-01,SNI; Paderborn / Germany,Primergy 070,15.6,15.6,14.6,15.9,14.8,13.0,16.6,15.6,17.9,17.3,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02852.html
445,551,1997-12-01,SNI; Paderborn / Germany,Primergy 460,10.5,10.5,9.73,10.6,9.89,9.15,11.3,10.3,12.0,11.5,http://www.spec.org/cpu95/results/res97q4/cpu95-971124-02270.html
446,552,1997-12-01,SNI; Paderborn / Germany,Primergy 460,11.8,11.8,10.9,12.0,11.0,10.2,12.8,11.5,13.5,12.8,http://www.spec.org/cpu95/results/res97q4/cpu95-971124-02274.html
447,555,1998-07-01,SNI; Paderborn,Primergy 470,15.5,15.5,14.5,15.9,14.7,12.9,16.5,15.5,17.8,17.1,http://www.spec.org/cpu95/results/res98q3/cpu95-980714-02889.html
448,554,1998-07-01,SNI; Paderborn,Primergy 470,13.6,13.6,12.7,13.9,13.0,11.3,14.4,13.6,15.6,15.0,http://www.spec.org/cpu95/results/res98q3/cpu95-980714-02891.html
449,555,1998-09-01,SNI; Paderborn/Germany,Primergy 870,16.7,16.7,16.4,16.1,16.1,15.0,17.5,15.6,18.3,19.4,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02845.html
450,718,1995-02-01,SNI; Paderborn / Germany,RM200 Model 225,2.31,2.41,2.21,2.12,1.93,2.2,2.84,2.78,2.46,2.12,http://www.spec.org/cpu95/results/res9509/p037.html
451,722,1997-03-01,SNI; Paderborn / Germany,RM200 Model C40,4.9,4.94,4.9,4.61,5.06,4.15,5.27,4.36,6.47,4.72,http://www.spec.org/cpu95/results/res97q1/cpu95-970203-01622.html
452,718,1996-02-01,SNI; Paderborn / Germany,RM200 and RM300 Model C20,2.53,2.64,2.49,2.24,2.16,2.44,2.96,2.85,2.99,2.28,http://www.spec.org/cpu95/results/res9512/p042.html
453,722,1996-09-01,SNI; Paderborn / Germany,RM300 Model C40,4.89,4.97,5.0,4.53,5.09,3.95,5.08,4.4,6.76,4.72,http://www.spec.org/cpu95/results/res97q1/cpu95-970203-01633.html
454,723,1997-04-01,SNI; Paderborn / Germany,RM300 Model C50,5.74,5.78,5.86,5.13,6.01,5.5,6.11,4.91,7.27,5.45,http://www.spec.org/cpu95/results/res97q1/cpu95-970203-01620.html
455,711,1996-02-01,SNI; Paderborn / Germany,RM300 Model C60,3.41,3.55,3.92,2.84,3.5,3.14,3.61,3.64,3.52,3.21,http://www.spec.org/cpu95/results/res9512/p043.html
456,702,1997-04-01,SNI; Paderborn / Germany,RM300 Model C80,8.83,9.02,9.41,8.62,8.64,8.72,9.01,8.32,9.63,8.38,http://www.spec.org/cpu95/results/res97q1/cpu95-970203-01619.html
457,722,1998-02-01,SNI; Paderborn / Germany,RM300 Model E10,4.91,5.23,4.48,4.7,5.05,4.99,5.33,4.48,6.44,4.11,http://www.spec.org/cpu95/results/res98q1/cpu95-980210-02418.html
458,724,1998-02-01,SNI; Paderborn / Germany,RM300 Model E20,6.63,7.08,6.0,6.53,6.99,6.28,7.12,6.09,8.71,5.77,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02403.html
459,705,1998-03-01,SNI; Paderborn / Germany,RM300 Model E50,10.2,10.9,10.2,10.4,9.93,11.4,10.1,9.64,11.0,8.84,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02402.html
