spec_int2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
687,485,2004-01-01,SGI,SGI Altix 350   Itanium 2,,false,743.0,743.0,630.0,574.0,830.0,684.0,790.0,558.0,1014.0,776.0,614.0,1217.0,658.0,809.0,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20040209-02835.html
688,487,2004-01-01,SGI,SGI Altix 350   Itanium 2,,false,986.0,0.0,870.0,747.0,1079.0,810.0,1111.0,733.0,1416.0,1062.0,798.0,1579.0,859.0,1114.0,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20031229-02695.html
689,487,2004-05-01,SGI,SGI Altix 350   Itanium 2,,false,1078.0,0.0,872.0,890.0,1193.0,1114.0,1095.0,809.0,1416.0,1042.0,801.0,1742.0,1032.0,1263.0,http://www.spec.org/cpu2000/results/res2004q2/cpu2000-20040503-02992.html
690,489,2004-10-01,SGI,SGI Altix 3700 Bx2   Itanium 2,,false,1242.0,0.0,981.0,994.0,1354.0,1530.0,1199.0,919.0,1854.0,1219.0,893.0,1896.0,1118.0,1412.0,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20041214-03642.html
691,491,2004-11-01,SGI,SGI Altix 3700 Bx2   Itanium 2,,false,1410.0,0.0,1069.0,1151.0,1548.0,2340.0,1286.0,1027.0,1990.0,1341.0,964.0,2165.0,1245.0,1514.0,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20041101-03517.html
692,491,2004-11-01,SGI,SGI Altix 3700 Bx2   Itanium 2,,false,1441.0,0.0,1069.0,1200.0,1600.0,2665.0,1285.0,1046.0,1982.0,1349.0,968.0,2231.0,1251.0,1514.0,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20041101-03505.html
693,747,2001-10-01,SGI,,,false,365.0,379.0,270.0,406.0,353.0,361.0,398.0,316.0,433.0,298.0,262.0,535.0,347.0,501.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011022-01051.html
694,748,2002-05-01,SGI,,,false,471.0,483.0,325.0,542.0,434.0,655.0,504.0,407.0,506.0,368.0,309.0,663.0,473.0,638.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020729-01494.html
695,747,2001-07-01,SGI,,,false,410.0,427.0,275.0,476.0,371.0,689.0,404.0,352.0,441.0,306.0,270.0,571.0,405.0,560.0,http://www.spec.org/cpu2000/results/res2001q2/cpu2000-20010423-00585.html
696,748,2002-01-01,SGI,,,false,483.0,500.0,322.0,572.0,445.0,783.0,502.0,409.0,507.0,367.0,308.0,679.0,493.0,645.0,http://www.spec.org/cpu2000/results/res2002q1/cpu2000-20020211-01260.html
