spec_fp1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,101_tomcatv,102_swim,103_su2cor,104_hydro2d,107_mgrid,110_applu,125_turb3d,141_apsi,145_fpppp,146_wave5,link
294,332,1998-02-01,IBM; Austin; TX,RS/6000 Model F50 (332 MHz; 1 CPU),12.1,12.6,15.1,24.4,5.68,6.1,9.6,8.05,15.0,9.22,36.9,12.8,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02401.html
295,332,1998-02-01,IBM; Austin; TX,RS/6000 Model H50 (1 CPU),12.1,12.6,15.1,24.4,5.68,6.1,9.6,8.05,15.0,9.22,36.9,12.8,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02398.html
296,318,1996-11-01,IBM; Austin TX,RS/6000 Notebook 860,2.62,2.71,3.27,3.57,1.14,1.63,2.51,2.37,3.51,2.85,6.77,1.71,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01524.html
297,283,1999-10-01,IBM; Austin; TX,RS/6000 SP-222 MHz High Node (1 CPU),26.3,28.6,37.9,40.8,16.2,19.9,24.6,16.1,35.4,24.8,39.6,22.9,http://www.spec.org/cpu95/results/res99q4/cpu95-19991105-03901.html
298,286,2000-08-01,IBM; Austin; TX,RS/6000 SP-375MHz High Node (1 CPU),48.8,51.3,56.3,69.5,37.9,44.3,51.5,25.0,57.0,38.1,62.6,65.9,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04278.html
299,286,2000-02-01,IBM; Austin; TX,RS/6000 SP-375MHz T/W (1 CPU),47.1,50.9,62.4,70.7,32.1,43.3,51.4,26.1,58.0,41.7,68.0,39.6,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000110-03973.html
300,556,1999-03-01,Intel Corp.,Intel MS440GX Motherboard (Pentium II Xeon 450 MHz),13.5,15.0,19.4,27.5,9.23,8.61,8.74,8.13,12.1,16.5,23.4,14.8,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03497.html
301,566,1999-03-01,Intel Corp.,Intel MS440GX Motherboard (Pentium III Xeon 500 MHz),14.3,15.9,19.6,28.7,9.61,8.87,9.43,8.72,13.0,17.8,25.4,15.6,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03496.html
302,567,1999-04-01,Intel Corp.,Intel MS440GX Motherboard (Pentium III Xeon 550 MHz),15.1,16.9,20.0,29.6,9.9,8.94,10.1,9.15,14.2,19.2,27.9,17.0,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03494.html
303,587,1996-01-01,Intel,Alder System (150MHz),4.76,5.42,7.92,9.74,3.1,3.5,2.57,2.54,4.59,5.22,7.87,5.85,http://www.spec.org/cpu95/results/res9512/p068.html
304,588,1996-03-01,Intel,Alder System (166MHz; 512KB L2),5.47,6.21,8.92,10.9,3.92,3.92,2.93,2.83,5.12,6.34,8.79,6.75,http://www.spec.org/cpu95/results/res9512/p069.html
305,589,1996-05-01,Intel,Alder System (180MHz; 256KB L2),5.4,6.08,8.69,11.1,3.35,3.74,2.89,2.96,5.34,5.96,9.49,6.81,http://www.spec.org/cpu95/results/res9512/p070.html
306,590,1996-05-01,Intel,Alder System (200MHz; 256KB L2),5.99,6.75,9.64,12.3,3.7,4.16,3.22,3.29,5.93,6.64,10.6,7.41,http://www.spec.org/cpu95/results/res9512/p071.html
307,376,1998-06-01,Intel Corp.,Intel AL440LX Motherboard(300MHz; Celeron processor),6.05,6.97,6.99,10.6,4.26,4.62,4.88,5.31,7.01,8.5,6.32,4.63,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03484.html
308,377,1998-08-01,Intel Corp.,Intel AL440LX Motherboard(333MHz; Celeron processor),9.15,9.65,14.1,20.3,4.58,5.11,5.41,5.77,8.72,9.63,20.0,11.6,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03479.html
309,378,1999-01-01,Intel Corp.,Intel AL440LX Motherboard(366 MHz; Celeron processor),9.56,10.1,14.5,21.1,4.7,5.19,5.53,6.13,9.34,10.1,22.1,12.1,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03475.html
310,379,1999-01-01,Intel Corp.,Intel AL440LX Motherboard(400MHz; Celeron processor),10.0,10.6,14.9,21.9,4.81,5.3,5.76,6.41,9.9,10.6,24.1,13.0,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03477.html
311,380,1999-03-01,Intel Corp.,Intel AL440LX Motherboard(433MHz; Celeron processor),10.4,10.9,15.2,22.4,4.89,5.34,5.92,6.69,10.4,11.0,26.0,13.5,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03492.html
312,550,1997-08-01,Intel,Intel AL440LX motherboard (233MHz),6.32,7.04,9.3,13.6,4.34,4.24,3.49,4.63,6.49,7.51,7.75,7.17,http://www.spec.org/cpu95/results/res97q4/cpu95-970916-02133.html
313,550,1997-08-01,Intel Corporation,Intel AL440LX motherboard (233MHz; NT),6.69,7.32,9.86,14.3,4.6,4.38,4.77,4.37,6.35,8.58,7.78,7.18,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02517.html
314,551,1997-08-01,Intel,Intel AL440LX motherboard (266MHz),6.97,7.68,10.2,15.0,4.7,4.43,3.87,5.09,7.24,8.3,8.86,8.07,http://www.spec.org/cpu95/results/res97q4/cpu95-970916-02134.html
315,551,1997-08-01,Intel Corporation,Intel AL440LX motherboard (266MHz; NT),7.39,7.98,10.7,15.8,4.95,4.59,5.32,4.85,7.03,9.58,8.89,8.15,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02519.html
